id,enc_id,address_number,date,tmax,tmin,srad,vp,swe,prcp,dayl
2,1,1,2020-06-01,24.1,11.16,505.93,1326.04,0,1.05,53476.71
2,1,1,2020-06-02,33.37,18.13,496.97,2079.64,0,0,53545.76
2,1,1,2020-06-03,28.53,18.36,314.23,2109.44,0,5.02,53611.42
2,1,1,2020-06-04,28.96,18.42,316.99,2118.17,0,6.4,53673.66
2,1,1,2020-06-05,31.47,18.69,461.18,2153.84,0,0,53732.43
2,1,1,2020-06-06,23.7,15.34,378.81,1742.38,0,0,53787.67
2,1,1,2020-06-07,24.47,13.73,446.54,1569.56,0,0,53839.36
2,1,1,2020-06-08,29.92,16.16,488.73,1835.51,0,0,53887.46
2,2,2,2022-11-03,22.98,11.1,245.75,1320.63,0,0,36045.16
2,2,2,2022-11-04,22.69,15.22,130.37,1728.74,0,9.35,35903.11
2,2,2,2022-11-05,20.19,8.98,240.66,1145.82,0,1.18,35762.79
2,2,2,2022-11-06,17.15,7.29,222.54,1021.7,0,0,35624.24
2,2,2,2022-11-07,12.28,5.41,172.43,897.04,0,0,35487.53
2,2,2,2022-11-08,11.83,6.19,146.66,946.96,0,0,35352.72
2,2,2,2022-11-09,20.62,7.92,250.33,1066.5,0,0,35219.87
2,2,2,2022-11-10,24.11,14.49,202.48,1649.6,0,0,35089.03
3,1,1,2020-04-01,9.68,1.64,376.15,687.53,0,0,45102.68
3,1,1,2020-04-02,13.46,-0.64,486.58,582.96,0,0,45274.39
3,1,1,2020-04-03,18.71,5.37,468.02,894.97,0,1.85,45445.76
3,1,1,2020-04-04,13.32,2.37,444.79,724.56,0,1.66,45616.76
3,1,1,2020-04-05,9.36,1.6,367.27,685.71,0,0,45787.36
3,1,1,2020-04-06,15.94,1.1,372.76,661.31,0,2.15,45957.53
3,1,1,2020-04-07,26.1,9.1,367.42,1155.06,0,2.08,46127.23
3,1,1,2020-04-08,19.15,8.4,324.19,1101.51,0,6.37,46296.44
4,1,1,2021-12-31,6.68,0.15,148.67,617.59,0,0,32427.03
4,1,1,2022-01-01,3.62,-2,98,527.31,0,15.52,32467.99
4,1,1,2022-01-02,-1.91,-8.54,153.14,320.7,0,0,32512.44
4,1,1,2022-01-03,-4.91,-12.57,172.74,232.65,0,0,32560.53
4,1,1,2022-01-04,1.75,-7.12,188.71,358.22,0,0,32612.21
4,1,1,2022-01-05,-0.56,-10.48,204.04,275.13,0,0,32667.45
4,1,1,2022-01-06,-8.69,-14.72,146.67,195.12,0,0,32726.21
4,1,1,2022-01-07,-8.75,-17.98,200.74,148.58,0,0,32788.44
6,1,1,2020-07-29,31.36,19.05,416.83,2203.72,0,0,51497.98
6,2,1,2020-07-29,31.36,19.05,416.83,2203.72,0,0,51497.98
6,1,1,2020-07-30,28.37,19.8,245.13,2308.45,0,3.84,51372.49
6,2,1,2020-07-30,28.37,19.8,245.13,2308.45,0,3.84,51372.49
6,1,1,2020-07-31,27.68,17.4,382.72,1986.47,0,0,51244.87
6,2,1,2020-07-31,27.68,17.4,382.72,1986.47,0,0,51244.87
6,1,1,2020-08-01,25.62,17.84,312.76,2042.89,0,1.4,51115.18
6,2,1,2020-08-01,25.62,17.84,312.76,2042.89,0,1.4,51115.18
6,1,1,2020-08-02,28.73,17.48,306.19,1996.25,0,4.99,50983.5
6,2,1,2020-08-02,28.73,17.48,306.19,1996.25,0,4.99,50983.5
6,1,1,2020-08-03,21.37,15.66,252.2,1778.17,0,1.97,50849.87
6,2,1,2020-08-03,21.37,15.66,252.2,1778.17,0,1.97,50849.87
6,1,1,2020-08-04,23.56,12.72,425,1469.61,0,0,50714.36
6,2,1,2020-08-04,23.56,12.72,425,1469.61,0,0,50714.36
6,1,1,2020-08-05,24.84,10.35,493.63,1256.58,0,0,50577.02
6,2,1,2020-08-05,24.84,10.35,493.63,1256.58,0,0,50577.02
